Year,Type,Generated
2011,Black Coal,"9,833"
2012,Black Coal,"10,177"
2013,Black Coal,"11,014"
2014,Black Coal,"11,869"
2015,Black Coal,"12,250"
2016,Black Coal,"11,982"
2017,Black Coal,"11,814"
2018,Black Coal,"12,456"
2019,Black Coal,"12,721"
2020,Black Coal,"12,279"
2021,Black Coal,"11,442"
2022,Black Coal,"10,838"
2011,Brown Coal,724
2012,Brown Coal,734
2013,Brown Coal,642
2014,Brown Coal,622
2015,Brown Coal,668
2016,Brown Coal,644
2017,Brown Coal,576
2018,Brown Coal,467
2019,Brown Coal,443
2020,Brown Coal,423
2021,Brown Coal,428
2022,Brown Coal,410
2011,Natural Gas,"2,213"
2012,Natural Gas,"2,152"
2013,Natural Gas,"2,424"
2014,Natural Gas,"2,449"
2015,Natural Gas,"2,527"
2016,Natural Gas,"3,091"
2017,Natural Gas,"3,971"
2018,Natural Gas,"4,614"
2019,Natural Gas,"5,257"
2020,Natural Gas,"5,618"
2021,Natural Gas,"5,359"
2022,Natural Gas,"5,842"
2011,Uranium,"3,355"
2012,Uranium,"3,602"
2013,Uranium,"4,209"
2014,Uranium,"2,680"
2015,Uranium,"2,872"
2016,Uranium,"3,583"
2017,Uranium,"3,429"
2018,Uranium,"3,535"
2019,Uranium,"3,581"
2020,Uranium,"3,453"
2021,Uranium,"2,920"
2022,Uranium,"2,108"
2011,Crude Oil,"1,101"
2012,Crude Oil,"1,096"
2013,Crude Oil,"1,020"
2014,Crude Oil,942
2015,Crude Oil,906
2016,Crude Oil,879
2017,Crude Oil,792
2018,Crude Oil,783
2019,Crude Oil,878
2020,Crude Oil,968
2021,Crude Oil,904
2022,Crude Oil,844
2011,Hydro,59
2012,Hydro,50
2013,Hydro,65
2014,Hydro,65
2015,Hydro,48
2016,Hydro,55
2017,Hydro,59
2018,Hydro,57
2019,Hydro,58
2020,Hydro,55
2021,Hydro,55
2022,Hydro,61
2011,Solar,6
2012,Solar,9
2013,Solar,14
2014,Solar,16
2015,Solar,20
2016,Solar,25
2017,Solar,29
2018,Solar,36
2019,Solar,54
2020,Solar,76
2021,Solar,100
2022,Solar,125
2011,Wind,13
2012,Wind,16
2013,Wind,24
2014,Wind,31
2015,Wind,39
2016,Wind,43
2017,Wind,45
2018,Wind,54
2019,Wind,64
2020,Wind,71
2021,Wind,89
2022,Wind,105
